Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,Year
AN Ahmed,3.0,3.0,12.0,0.0,128.0,1.0,1/28,128.0,10.66,72.0,0.0,0.0,0.0,0.0,2015
CJ Anderson,4.0,2.0,4.0,0.0,33.0,1.0,1/21,33.0,8.25,24.0,0.0,0.0,1.0,0.0,2015
Ankit Sharma,4.0,4.0,14.0,0.0,114.0,3.0,1/26,38.0,8.14,28.0,0.0,0.0,2.0,0.0,2015
Anureet Singh,14.0,14.0,51.4,0.0,465.0,15.0,3/23,31.0,9.0,20.6,0.0,0.0,4.0,0.0,2015
S Aravind,5.0,5.0,18.0,0.0,132.0,8.0,4/27,16.5,7.33,13.5,1.0,0.0,1.0,0.0,2015
A Ashish Reddy,6.0,4.0,6.0,0.0,50.0,3.0,1/11,16.66,8.33,12.0,0.0,0.0,1.0,0.0,2015
R Ashwin,14.0,13.0,39.0,0.0,228.0,10.0,2/5,22.8,5.84,23.4,0.0,0.0,3.0,0.0,2015
Azhar Mahmood,1.0,1.0,3.0,0.0,41.0,0.0,0,0,13.66,0,0.0,0.0,0.0,0.0,2015
GJ Bailey,13.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2015
R Bhatia,2.0,2.0,5.0,0.0,46.0,0.0,0,0,9.2,0,0.0,0.0,0.0,0.0,2015
STR Binny,13.0,10.0,19.0,0.0,140.0,4.0,2/27,35.0,7.36,28.5,0.0,0.0,5.0,0.0,2015
Bipul Sharma,4.0,3.0,7.0,0.0,50.0,3.0,2/13,16.66,7.14,14.0,0.0,0.0,0.0,0.0,2015
MS Bisla,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2015
RS Bopara,9.0,7.0,20.0,0.0,160.0,6.0,2/18,26.66,8.0,20.0,0.0,0.0,2.0,0.0,2015
J Botha,4.0,4.0,10.0,0.0,81.0,1.0,1/32,81.0,8.1,60.0,0.0,0.0,4.0,0.0,2015
TA Boult,7.0,7.0,28.0,0.0,236.0,9.0,3/19,26.22,8.42,18.6,0.0,0.0,2.0,0.0,2015
DJ Bravo,17.0,16.0,52.2,0.0,426.0,26.0,3/22,16.38,8.14,12.0,0.0,0.0,13.0,0.0,2015
JJ Bumrah,4.0,4.0,15.0,0.0,184.0,3.0,1/38,61.33,12.26,30.0,0.0,0.0,0.0,0.0,2015
KC Cariappa,1.0,1.0,2.0,0.0,28.0,1.0,1/28,28.0,14.0,12.0,0.0,0.0,0.0,0.0,2015
YS Chahal,15.0,14.0,46.5,0.0,415.0,23.0,3/40,18.04,8.86,12.2,0.0,0.0,4.0,0.0,2015
UBT Chand,6.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2015
PP Chawla,13.0,13.0,35.0,0.0,269.0,11.0,4/32,24.45,7.68,19.0,1.0,0.0,2.0,0.0,2015
NM Coulter-Nile,11.0,11.0,42.3,1.0,321.0,15.0,4/20,21.4,7.55,17.0,1.0,0.0,5.0,0.0,2015
PJ Cummins,3.0,3.0,10.0,0.0,97.0,1.0,1/54,97.0,9.7,60.0,0.0,0.0,1.0,0.0,2015
Q de Kock,3.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2015
M de Lange,1.0,1.0,4.0,1.0,30.0,0.0,0,0,7.5,0,0.0,0.0,0.0,0.0,2015
AB de Villiers,16.0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,2015
R Dhawan,5.0,5.0,12.0,0.0,110.0,1.0,1/12,110.0,9.16,72.0,0.0,0.0,0.0,0.0,2015
S Dhawan,14.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2015
MS Dhoni,17.0,0,0,0,0,0,0,0,0,0,0,0,8.0,3.0,2015
AB Dinda,2.0,2.0,5.0,0.0,62.0,0.0,0,0,12.4,0,0.0,0.0,1.0,0.0,2015
JP Duminy,14.0,9.0,17.0,0.0,126.0,8.0,4/17,15.75,7.41,12.7,1.0,0.0,8.0,0.0,2015
F du Plessis,17.0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,2015
JP Faulkner,13.0,13.0,45.0,1.0,426.0,8.0,3/26,53.25,9.46,33.7,0.0,0.0,4.0,0.0,2015
AJ Finch,3.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2015
G Gambhir,13.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2015
CM Gautam,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2015
CH Gayle,14.0,1.0,2.0,0.0,15.0,0.0,0,0,7.5,0,0.0,0.0,1.0,0.0,2015
S Gopal,1.0,1.0,2.1,0.0,23.0,1.0,1/23,23.0,10.61,13.0,0.0,0.0,0.0,0.0,2015
Gurkeerat Singh,5.0,3.0,9.0,0.0,66.0,3.0,2/17,22.0,7.33,18.0,0.0,0.0,1.0,0.0,2015
Harbhajan Singh,15.0,15.0,57.0,1.0,446.0,18.0,3/27,24.77,7.82,19.0,0.0,0.0,3.0,0.0,2015
BE Hendricks,4.0,4.0,13.0,0.0,109.0,5.0,2/40,21.8,8.38,15.6,0.0,0.0,2.0,0.0,2015
MC Henriques,9.0,9.0,25.0,0.0,158.0,11.0,3/16,14.36,6.32,13.6,0.0,0.0,1.0,0.0,2015
GB Hogg,6.0,6.0,21.0,0.0,144.0,9.0,4/29,16.0,6.85,14.0,1.0,0.0,0.0,0.0,2015
DJ Hooda,14.0,7.0,15.1,0.0,129.0,1.0,1/35,129.0,8.5,91.0,0.0,0.0,1.0,0.0,2015
MEK Hussey,4.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2015
Imran Tahir,10.0,10.0,35.3,0.0,314.0,15.0,4/28,20.93,8.84,14.2,1.0,0.0,3.0,0.0,2015
Iqbal Abdulla,5.0,5.0,19.0,1.0,150.0,4.0,2/36,37.5,7.89,28.5,0.0,0.0,1.0,0.0,2015
SS Iyer,14.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2015
RA Jadeja,17.0,15.0,42.4,0.0,330.0,11.0,4/11,30.0,7.73,23.2,1.0,0.0,13.0,0.0,2015
KM Jadhav,14.0,0,0,0,0,0,0,0,0,0,0,0,6.0,2.0,2015
MG Johnson,9.0,9.0,35.5,1.0,336.0,9.0,2/23,37.33,9.37,23.8,0.0,0.0,0.0,0.0,2015
Karanveer Singh,4.0,4.0,14.0,0.0,157.0,1.0,1/30,157.0,11.21,84.0,0.0,0.0,1.0,0.0,2015
KD Karthik,16.0,0,0,0,0,0,0,0,0,0,0,0,14.0,4.0,2015
SN Khan,13.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2015
Z Khan,7.0,7.0,24.1,1.0,156.0,7.0,2/9,22.28,6.45,20.7,0.0,0.0,0.0,0.0,2015
V Kohli,16.0,2.0,1.5,0.0,10.0,0.0,0,0,5.45,0,0.0,0.0,7.0,0.0,2015
DS Kulkarni,11.0,11.0,35.0,1.0,277.0,13.0,2/9,21.3,7.91,16.1,0.0,0.0,5.0,0.0,2015
B Kumar,14.0,14.0,51.4,1.0,407.0,18.0,3/26,22.61,7.87,17.2,0.0,0.0,5.0,0.0,2015
P Kumar,12.0,12.0,36.0,0.0,329.0,7.0,2/35,47.0,9.13,30.8,0.0,0.0,3.0,0.0,2015
MJ McClenaghan,12.0,12.0,47.0,0.0,386.0,18.0,3/16,21.44,8.21,15.6,0.0,0.0,0.0,0.0,2015
BB McCullum,14.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2015
NJ Maddinson,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2015
SL Malinga,15.0,15.0,60.0,3.0,444.0,24.0,4/23,18.5,7.4,15.0,1.0,0.0,2.0,0.0,2015
Mandeep Singh,14.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,2015
SE Marsh,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2015
AD Mathews,11.0,10.0,30.0,0.0,246.0,7.0,2/15,35.14,8.2,25.7,0.0,0.0,5.0,0.0,2015
GJ Maxwell,11.0,7.0,10.0,0.0,97.0,2.0,1/5,48.5,9.7,30.0,0.0,0.0,2.0,0.0,2015
DA Miller,13.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,2015
A Mishra,12.0,12.0,40.1,0.0,310.0,9.0,2/32,34.44,7.71,26.7,0.0,0.0,2.0,0.0,2015
RG More,2.0,2.0,5.5,0.0,59.0,1.0,1/31,59.0,10.11,35.0,0.0,0.0,1.0,0.0,2015
EJG Morgan,9.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2015
JA Morkel,4.0,4.0,12.0,0.0,109.0,3.0,2/21,36.33,9.08,24.0,0.0,0.0,1.0,0.0,2015
M Morkel,7.0,7.0,28.0,1.0,206.0,10.0,2/18,20.6,7.35,16.8,0.0,0.0,1.0,0.0,2015
CH Morris,11.0,11.0,42.0,0.0,311.0,13.0,4/23,23.92,7.4,19.3,1.0,0.0,3.0,0.0,2015
DJ Muthuswami,6.0,6.0,14.0,0.0,101.0,4.0,2/18,25.25,7.21,21.0,0.0,0.0,0.0,0.0,2015
S Nadeem,4.0,2.0,7.0,1.0,43.0,0.0,0,0,6.14,0,0.0,0.0,3.0,0.0,2015
KK Nair,14.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2015
SP Narine,8.0,8.0,32.0,0.0,234.0,7.0,4/19,33.42,7.31,27.4,1.0,0.0,1.0,0.0,2015
P Negi,10.0,10.0,30.0,0.0,252.0,6.0,2/25,42.0,8.4,30.0,0.0,0.0,4.0,0.0,2015
A Nehra,16.0,16.0,62.0,0.0,449.0,22.0,4/10,20.4,7.24,16.9,1.0,0.0,3.0,0.0,2015
NV Ojha,14.0,0,0,0,0,0,0,0,0,0,0,0,6.0,1.0,2015
PP Ojha,1.0,1.0,2.0,0.0,23.0,0.0,0,0,11.5,0,0.0,0.0,0.0,0.0,2015
IC Pandey,10.0,10.0,31.0,2.0,223.0,11.0,2/27,20.27,7.19,16.9,0.0,0.0,2.0,0.0,2015
MK Pandey,13.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2015
HH Pandya,9.0,8.0,17.0,0.0,176.0,1.0,1/13,176.0,10.35,102.0,0.0,0.0,6.0,0.0,2015
Parvez Rasool,2.0,2.0,5.0,0.0,31.0,1.0,1/20,31.0,6.2,30.0,0.0,0.0,0.0,0.0,2015
AR Patel,14.0,14.0,46.4,0.0,392.0,13.0,2/11,30.15,8.4,21.5,0.0,0.0,7.0,0.0,2015
HV Patel,15.0,14.0,43.5,0.0,328.0,17.0,2/12,19.29,7.48,15.4,0.0,0.0,1.0,0.0,2015
PA Patel,14.0,0,0,0,0,0,0,0,0,0,0,0,7.0,3.0,2015
YK Pathan,13.0,5.0,10.0,0.0,97.0,2.0,2/40,48.5,9.7,30.0,0.0,0.0,3.0,0.0,2015
NLTC Perera,2.0,2.0,6.0,0.0,55.0,1.0,1/33,55.0,9.16,36.0,0.0,0.0,0.0,0.0,2015
KA Pollard,16.0,8.0,12.4,0.0,120.0,3.0,1/6,40.0,9.47,25.3,0.0,0.0,9.0,0.0,2015
AM Rahane,14.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2015
KL Rahul,9.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2015
SK Raina,17.0,5.0,12.0,0.0,93.0,2.0,1/29,46.5,7.75,36.0,0.0,0.0,11.0,0.0,2015
AT Rayudu,15.0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,2015
RR Rossouw,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2015
AD Russell,13.0,13.0,40.4,0.0,324.0,14.0,3/32,23.14,7.96,17.4,0.0,0.0,6.0,0.0,2015
WP Saha,14.0,0,0,0,0,0,0,0,0,0,0,0,11.0,3.0,2015
DJG Sammy,2.0,2.0,3.0,0.0,25.0,0.0,0,0,8.33,0,0.0,0.0,1.0,0.0,2015
SV Samson,14.0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,2015
Sandeep Sharma,14.0,14.0,50.0,4.0,350.0,13.0,4/25,26.92,7.0,23.0,1.0,0.0,2.0,0.0,2015
GS Sandhu,3.0,2.0,8.0,0.0,82.0,1.0,1/33,82.0,10.25,48.0,0.0,0.0,0.0,0.0,2015
V Sehwag,8.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2015
Shakib Al Hasan,4.0,4.0,14.0,0.0,123.0,4.0,2/22,30.75,8.78,21.0,0.0,0.0,0.0,0.0,2015
I Sharma,4.0,4.0,14.0,0.0,159.0,1.0,1/25,159.0,11.35,84.0,0.0,0.0,0.0,0.0,2015
KV Sharma,14.0,14.0,39.5,0.0,332.0,10.0,2/12,33.2,8.33,23.9,0.0,0.0,4.0,0.0,2015
MM Sharma,16.0,16.0,57.0,0.0,481.0,14.0,3/25,34.35,8.43,24.4,0.0,0.0,5.0,0.0,2015
RG Sharma,16.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2015
Shivam Sharma,1.0,1.0,3.0,0.0,44.0,1.0,1/44,44.0,14.66,18.0,0.0,0.0,0.0,0.0,2015
LMP Simmons,13.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2015
DR Smith,16.0,1.0,2.0,0.0,17.0,1.0,1/17,17.0,8.5,12.0,0.0,0.0,9.0,0.0,2015
SPD Smith,14.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,2015
TG Southee,7.0,7.0,28.0,1.0,247.0,6.0,2/32,41.16,8.82,28.0,0.0,0.0,4.0,0.0,2015
BB Sran,1.0,1.0,3.0,0.0,35.0,0.0,0,0,11.66,0,0.0,0.0,0.0,0.0,2015
MA Starc,13.0,12.0,43.0,1.0,291.0,20.0,4/15,14.55,6.76,12.9,1.0,0.0,7.0,0.0,2015
DW Steyn,6.0,6.0,19.0,0.0,170.0,3.0,2/38,56.66,8.94,38.0,0.0,0.0,2.0,0.0,2015
J Suchith,13.0,12.0,39.0,0.0,337.0,10.0,2/14,33.7,8.64,23.4,0.0,0.0,8.0,0.0,2015
P Suyal,3.0,3.0,10.0,0.0,95.0,0.0,0,0,9.5,0,0.0,0.0,0.0,0.0,2015
PV Tambe,10.0,10.0,34.0,0.0,266.0,7.0,2/21,38.0,7.82,29.1,0.0,0.0,1.0,0.0,2015
AP Tare,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2015
RN ten Doeschate,6.0,1.0,1.0,0.0,4.0,0.0,0,0,4.0,0,0.0,0.0,1.0,0.0,2015
R Tewatia,1.0,1.0,3.0,0.0,31.0,1.0,1/31,31.0,10.33,18.0,0.0,0.0,0.0,0.0,2015
SN Thakur,1.0,1.0,3.0,0.0,38.0,1.0,1/38,38.0,12.66,18.0,0.0,0.0,0.0,0.0,2015
J Theron,1.0,1.0,4.0,0.0,40.0,1.0,1/40,40.0,10.0,24.0,0.0,0.0,0.0,0.0,2015
MK Tiwary,5.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2015
SS Tiwary,7.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2015
JD Unadkat,1.0,1.0,3.0,0.0,30.0,0.0,0,0,10.0,0,0.0,0.0,0.0,0.0,2015
RV Uthappa,13.0,0,0,0,0,0,0,0,0,0,0,0,7.0,5.0,2015
GH Vihari,5.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2015
M Vijay,11.0,2.0,4.0,0.0,28.0,0.0,0,0,7.0,0,0.0,0.0,4.0,0.0,2015
R Vinay Kumar,13.0,13.0,43.3,0.0,368.0,7.0,2/26,52.57,8.45,37.2,0.0,0.0,6.0,0.0,2015
M Vohra,7.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2015
DA Warner,14.0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,2015
SR Watson,10.0,10.0,29.0,1.0,269.0,6.0,2/36,44.83,9.27,29.0,0.0,0.0,1.0,0.0,2015
D Wiese,14.0,13.0,42.2,0.0,353.0,16.0,4/33,22.06,8.33,15.8,1.0,0.0,5.0,0.0,2015
KS Williamson,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2015
J Yadav,3.0,3.0,7.0,0.0,29.0,2.0,1/8,14.5,4.14,21.0,0.0,0.0,1.0,0.0,2015
SA Yadav,13.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,2015
UT Yadav,12.0,12.0,42.0,0.0,382.0,10.0,3/33,38.2,9.09,25.2,0.0,0.0,5.0,0.0,2015
Yuvraj Singh,14.0,6.0,9.0,0.0,72.0,1.0,1/14,72.0,8.0,54.0,0.0,0.0,2.0,0.0,2015
VR Aaron,10.0,10.0,36.4,1.0,299.0,16.0,3/16,18.68,8.15,13.7,0.0,0.0,0.0,0.0,2014
MA Agarwal,8.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2014
AN Ahmed,4.0,4.0,14.2,0.0,113.0,3.0,1/18,37.66,7.88,28.6,0.0,0.0,0.0,0.0,2014
CJ Anderson,12.0,9.0,18.0,0.0,184.0,4.0,2/18,46.0,10.22,27.0,0.0,0.0,5.0,0.0,2014
S Anirudha,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
Ankit Sharma,3.0,2.0,8.0,0.0,43.0,4.0,2/20,10.75,5.37,12.0,0.0,0.0,0.0,0.0,2014
R Ashwin,16.0,16.0,59.5,1.0,437.0,16.0,3/30,27.31,7.3,22.4,0.0,0.0,1.0,0.0,2014
P Awana,7.0,7.0,23.3,1.0,245.0,7.0,2/15,35.0,10.42,20.1,0.0,0.0,0.0,0.0,2014
S Badree,4.0,4.0,14.0,0.0,97.0,2.0,1/19,48.5,6.92,42.0,0.0,0.0,0.0,0.0,2014
GJ Bailey,17.0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,2014
L Balaji,9.0,9.0,34.0,0.0,299.0,12.0,4/13,24.91,8.79,17.0,1.0,0.0,0.0,0.0,2014
R Bhatia,12.0,12.0,38.0,0.0,283.0,12.0,3/23,23.58,7.44,19.0,0.0,0.0,5.0,0.0,2014
STR Binny,13.0,8.0,9.0,0.0,64.0,3.0,1/1,21.33,7.11,18.0,0.0,0.0,3.0,0.0,2014
MS Bisla,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2014
DJ Bravo,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
JJ Bumrah,11.0,11.0,39.4,1.0,301.0,5.0,2/22,60.2,7.58,47.6,0.0,0.0,0.0,0.0,2014
YS Chahal,14.0,14.0,55.0,1.0,386.0,12.0,2/17,32.16,7.01,27.5,0.0,0.0,3.0,0.0,2014
UBT Chand,1.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2014
PP Chawla,11.0,11.0,39.3,0.0,303.0,14.0,3/19,21.64,7.67,16.9,0.0,0.0,3.0,0.0,2014
KK Cooper,5.0,5.0,18.0,0.0,134.0,4.0,2/38,33.5,7.44,27.0,0.0,0.0,2.0,0.0,2014
NM Coulter-Nile,2.0,1.0,4.0,0.0,27.0,2.0,2/27,13.5,6.75,12.0,0.0,0.0,0.0,0.0,2014
PJ Cummins,1.0,1.0,4.0,1.0,29.0,1.0,1/29,29.0,7.25,24.0,0.0,0.0,0.0,0.0,2014
BCJ Cutting,1.0,1.0,4.0,0.0,31.0,1.0,1/31,31.0,7.75,24.0,0.0,0.0,1.0,0.0,2014
Q de Kock,7.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2014
M de Lange,1.0,1.0,4.0,0.0,32.0,2.0,2/32,16.0,8.0,12.0,0.0,0.0,0.0,0.0,2014
AB de Villiers,14.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,2014
R Dhawan,13.0,13.0,47.2,0.0,365.0,13.0,2/14,28.07,7.71,21.8,0.0,0.0,3.0,0.0,2014
S Dhawan,14.0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,2014
MS Dhoni,16.0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,2014
AB Dinda,9.0,9.0,31.0,0.0,270.0,5.0,1/14,54.0,8.7,37.2,0.0,0.0,0.0,0.0,2014
JP Duminy,14.0,11.0,33.0,0.0,240.0,3.0,2/27,80.0,7.27,66.0,0.0,0.0,2.0,0.0,2014
BR Dunk,3.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2014
F du Plessis,15.0,0,0,0,0,0,0,0,0,0,0,0,13.0,0.0,2014
JP Faulkner,13.0,13.0,43.0,0.0,419.0,11.0,3/11,38.09,9.74,23.4,0.0,0.0,2.0,0.0,2014
AJ Finch,13.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2014
G Gambhir,16.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2014
CM Gautam,9.0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,2014
CH Gayle,9.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2014
S Gopal,4.0,4.0,14.0,0.0,113.0,6.0,2/25,18.83,8.07,14.0,0.0,0.0,1.0,0.0,2014
Harbhajan Singh,14.0,14.0,55.0,1.0,356.0,14.0,2/13,25.42,6.47,23.5,0.0,0.0,3.0,0.0,2014
JW Hastings,1.0,1.0,3.0,0.0,29.0,1.0,1/29,29.0,9.66,18.0,0.0,0.0,0.0,0.0,2014
BE Hendricks,3.0,3.0,12.0,0.0,126.0,4.0,3/36,31.5,10.5,18.0,0.0,0.0,1.0,0.0,2014
MC Henriques,4.0,4.0,10.0,0.0,96.0,4.0,2/26,24.0,9.6,15.0,0.0,0.0,1.0,0.0,2014
BW Hilfenhaus,8.0,8.0,28.0,0.0,246.0,8.0,2/32,30.75,8.78,21.0,0.0,0.0,1.0,0.0,2014
BJ Hodge,4.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2014
JO Holder,1.0,1.0,3.0,0.0,35.0,1.0,1/35,35.0,11.66,18.0,0.0,0.0,2.0,0.0,2014
DJ Hussey,5.0,1.0,2.5,0.0,38.0,2.0,2/38,19.0,13.41,8.5,0.0,0.0,1.0,0.0,2014
MEK Hussey,9.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2014
Imran Tahir,6.0,6.0,20.5,0.0,171.0,9.0,3/22,19.0,8.2,13.8,0.0,0.0,0.0,0.0,2014
Iqbal Abdulla,1.0,1.0,2.0,0.0,17.0,0.0,0,0,8.5,0,0.0,0.0,1.0,0.0,2014
RA Jadeja,16.0,16.0,54.2,0.0,443.0,19.0,4/12,23.31,8.15,17.1,2.0,0.0,4.0,0.0,2014
KM Jadhav,10.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2014
SB Jakati,1.0,1.0,3.4,0.0,41.0,0.0,0,0,11.18,0,0.0,0.0,0.0,0.0,2014
MG Johnson,14.0,14.0,53.3,0.0,444.0,17.0,2/19,26.11,8.29,18.8,0.0,0.0,4.0,0.0,2014
JH Kallis,8.0,8.0,22.0,0.0,186.0,4.0,1/15,46.5,8.45,33.0,0.0,0.0,2.0,0.0,2014
Karanveer Singh,5.0,5.0,20.0,0.0,164.0,11.0,4/54,14.9,8.2,10.9,1.0,0.0,1.0,0.0,2014
KD Karthik,14.0,0,0,0,0,0,0,0,0,0,0,0,7.0,2.0,2014
M Kartik,2.0,2.0,8.0,0.0,91.0,1.0,1/51,91.0,11.37,48.0,0.0,0.0,1.0,0.0,2014
S Kaul,5.0,5.0,13.0,0.0,126.0,2.0,1/5,63.0,9.69,39.0,0.0,0.0,0.0,0.0,2014
Z Khan,6.0,6.0,22.2,0.0,146.0,5.0,2/21,29.2,6.53,26.8,0.0,0.0,0.0,0.0,2014
V Kohli,14.0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,2014
DS Kulkarni,8.0,8.0,27.0,1.0,221.0,6.0,2/23,36.83,8.18,27.0,0.0,0.0,2.0,0.0,2014
B Kumar,14.0,14.0,53.1,0.0,354.0,20.0,4/14,17.7,6.65,15.9,1.0,0.0,2.0,0.0,2014
P Kumar,3.0,3.0,12.0,0.0,78.0,3.0,2/31,26.0,6.5,24.0,0.0,0.0,0.0,0.0,2014
CA Lynn,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2014
BB McCullum,14.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,2014
NJ Maddinson,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2014
VS Malik,1.0,1.0,3.0,0.0,29.0,1.0,1/29,29.0,9.66,18.0,0.0,0.0,1.0,0.0,2014
SL Malinga,10.0,10.0,39.1,0.0,253.0,16.0,4/23,15.81,6.45,14.6,1.0,0.0,0.0,0.0,2014
Mandeep Singh,3.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2014
M Manhas,12.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2014
SE Marsh,2.0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2014
GJ Maxwell,16.0,7.0,11.0,0.0,132.0,1.0,1/21,132.0,12.0,66.0,0.0,0.0,9.0,0.0,2014
DA Miller,16.0,0,0,0,0,0,0,0,0,0,0,0,14.0,0.0,2014
A Mishra,10.0,10.0,37.3,0.0,340.0,7.0,2/23,48.57,9.06,32.1,0.0,0.0,0.0,0.0,2014
Mohammed Shami,12.0,12.0,44.0,0.0,369.0,7.0,1/22,52.71,8.38,37.7,0.0,0.0,0.0,0.0,2014
JA Morkel,7.0,6.0,16.0,0.0,126.0,4.0,1/18,31.5,7.87,24.0,0.0,0.0,2.0,0.0,2014
M Morkel,12.0,12.0,48.0,1.0,367.0,12.0,2/20,30.58,7.64,24.0,0.0,0.0,6.0,0.0,2014
M Muralitharan,5.0,5.0,16.0,0.0,124.0,3.0,2/25,41.33,7.75,32.0,0.0,0.0,0.0,0.0,2014
S Nadeem,11.0,11.0,38.0,0.0,311.0,8.0,2/35,38.87,8.18,28.5,0.0,0.0,0.0,0.0,2014
KK Nair,11.0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,2014
SP Narine,16.0,16.0,64.0,0.0,407.0,21.0,4/20,19.38,6.35,18.2,2.0,0.0,2.0,0.0,2014
AM Nayar,5.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2014
JDS Neesham,4.0,4.0,9.0,0.0,91.0,1.0,1/29,91.0,10.11,54.0,0.0,0.0,0.0,0.0,2014
P Negi,2.0,2.0,7.0,0.0,75.0,0.0,0,0,10.71,0,0.0,0.0,1.0,0.0,2014
A Nehra,4.0,4.0,15.0,0.0,142.0,8.0,3/33,17.75,9.46,11.2,0.0,0.0,0.0,0.0,2014
NV Ojha,11.0,0,0,0,0,0,0,0,0,0,0,0,6.0,1.0,2014
PP Ojha,12.0,12.0,46.0,1.0,380.0,4.0,2/30,95.0,8.26,69.0,0.0,0.0,0.0,0.0,2014
IC Pandey,13.0,12.0,42.0,2.0,318.0,6.0,2/23,53.0,7.57,42.0,0.0,0.0,4.0,0.0,2014
MK Pandey,16.0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,2014
WD Parnell,8.0,8.0,30.1,0.0,223.0,6.0,2/21,37.16,7.39,30.1,0.0,0.0,2.0,0.0,2014
Parvez Rasool,3.0,3.0,9.0,0.0,83.0,1.0,1/26,83.0,9.22,54.0,0.0,0.0,1.0,0.0,2014
AR Patel,17.0,17.0,66.0,2.0,405.0,17.0,3/24,23.82,6.13,23.2,0.0,0.0,7.0,0.0,2014
HV Patel,3.0,3.0,11.0,0.0,113.0,4.0,2/56,28.25,10.27,16.5,0.0,0.0,0.0,0.0,2014
PA Patel,12.0,0,0,0,0,0,0,0,0,0,0,0,11.0,1.0,2014
